"Date","Event","Type","Country ","Description"
"Sep-09","Adwa commemorated internationally","Battle","Ethiopia","September 9 is designated as the international day of reflection on the Battle of Adwa (1896) in Pan-African academic circles. Adwa's significance was not just military — it inspired every African independence movement of the 20th century."
"Sep-10","Abebe Bikila's barefoot Olympic marathon (1960)","Sport","Ethiopia","On September 10, 1960, Ethiopian runner Abebe Bikila won the Rome Olympics marathon barefoot, setting a world record. His victory was seen as a statement of African dignity and defiance of colonial stereotypes."
"Sep-11","Ethiopian New Year  Enkutatash","Festival","Ethiopia","September 11 (September 12 in Ethiopian leap years) is Enkutatash, the Ethiopian New Year, celebrated with the giving of yellow flowers, song, and feasting. The word means 'gift of jewels,' recalling the Queen of Sheba's return from Jerusalem."
"Sep-12","Haile Selassie deposed (1974)","Revolution","Ethiopia","On September 12, 1974, Emperor Haile Selassie was deposed by the Derg military committee, ending Ethiopia's 3,000-year-old imperial dynasty. He died under mysterious circumstances in August 1975."
"Sep-13","Walter Sisulu born","Figure","South Africa","Walter Sisulu, born May 18, 1912, was Nelson Mandela's mentor and a founding member of the ANC Youth League. September 13 is South African Liberation Heroes' Day."
"Sep-14","Steve Biko dies in detention","Commemoration","South Africa","Steve Biko, founder of the Black Consciousness Movement, died from injuries sustained in police custody on September 12, 1977. September 14 is observed as Black Consciousness Day in South Africa."
"Sep-15","African philosophy  Ubuntu day","Tradition","Pan Africa","September 15 is African Philosophy Day, celebrating the Ubuntu philosophy ('I am because we are') that underpins communitarian values across much of sub-Saharan Africa. Ubuntu was invoked by Nelson Mandela in South Africa's transition to democracy."
"Sep-16","MPLA liberation struggle anniversary","Revolution","Angola","The MPLA launched its first guerrilla actions against Portuguese colonial rule in February 1961; September 16 marks Angolan Liberation Heritage events. Angola gained independence in 1975 after 14 years of armed struggle."
"Sep-17","Kingdom of Kongo  founding anniversary","Heritage","DR Congo","The Kingdom of Kongo, founded around the 14th century, was one of the largest and most powerful states in sub-Saharan Africa, spanning modern-day DR Congo, Angola, Gabon, and Republic of Congo. September 17 is Congo Kingdom Heritage Day."
"Sep-18","Cape Malay culture ","Tradition","South Africa","The Cape Malay community of Cape Town, descended from enslaved Southeast Asians brought by Dutch colonizers, has blended African, Malay, and Dutch traditions for over 300 years. September 18 is Cape Malay Heritage Day."
"Sep-19","First female African head of state  Ruth Perry (Liberia, 1996)","Figure","Liberia","Ruth Perry became Chair of Liberia's Council of State on September 3, 1996 — the first female head of state in Africa. September 19 is African Women Leaders Heritage Day."
"Sep-20","African photographic heritage  earliest African photographs","Heritage","Pan Africa","The earliest photographs taken in Africa date to the 1840s in Egypt and South Africa; September 20 is African Photography Heritage Day. African photography has since grown into a vibrant art form documenting the continent's transformation."
"Sep-21","World Peace Day Africa's peacekeeping role","Commemoration","Pan Africa","September 21 is International Peace Day; Africa contributes the most troops to United Nations peacekeeping missions of any continent. African nations like Ethiopia, Rwanda, and Senegal are among the top UN peacekeeping contributors."
"Sep-22","Mali Independence Day","Independence","Mali","Mali gained independence from France on September 22, 1960, under President Modibo Keïta. Timbuktu, its most famous city, was a center of Islamic scholarship with over 25,000 students in its universities in the 14th century."
"Sep-23","Shaka Zulu assassinated (1828)","Figure","South Africa","Shaka Zulu, the great Zulu warrior king, was assassinated by his half-brothers on September 22, 1828. His revolutionary military tactics (the 'bull horn' formation) transformed the Zulu Kingdom and reshaped southern Africa."
"Sep-24","South Africa Heritage Day","Heritage","South Africa","September 24 is Heritage Day in South Africa, popularly known as 'Braai Day,' celebrating the country's cultural diversity through food, music, and tradition. South Africa has 11 official languages — the most of any African country"
"Sep-25","Mozambique independence anniversary (educational)","Heritage","Southern Africa","Mozambique's independence on June 25, 1975 set off a chain of events leading to Zimbabwe's freedom in 1980; September 25 is Southern African Liberation Chain Heritage Day. The liberation of Southern Africa was a 15-year interlocking process."
"Sep-26","Ethiopia's Meskel Festival","Festival","Ethiopia","Meskel, celebrating the finding of the True Cross, is observed on September 27 (or 26) in Ethiopia and is a UNESCO-inscribed intangible cultural heritage. The bonfire ceremony (Demera) lit in Meskel Square in Addis Ababa draws hundreds of thousands."
"Sep-27","Meskel  Finding of the True Cross","Festival","Ethiopia","Meskel, one of Ethiopia's most spectacular festivals, is celebrated September 27, featuring the lighting of the Demera bonfire symbolizing the rediscovery of Christ's cross. It is a 1,600-year-old Ethiopian Orthodox tradition."
"Sep-28","Guinea Independence Day","Independence","Guinea","Guinea became the first French African colony to vote 'No' in de Gaulle's 1958 referendum, gaining independence on October 2, 1958; September 28 is Guinea Heritage Week. President Sékou Touré's defiance made him a Pan-African hero."
"Sep-29","Africa's oldest rock paintings  Blombos Cave","Archaelogy","South Africa","Blombos Cave in South Africa contains the world's oldest known abstract art — 75,000-year-old ochre engravings. September 29 is Southern African Archaeology Heritage Day."
"Sep-30","Botswana Independence Day","Independence","Botswana ","Botswana gained independence from Britain on September 30, 1966, as one of the world's poorest countries. Through diamond revenues and sound governance, it transformed into Africa's greatest development success story."
"Oct-01","Nigeria Independence Day","Independence","Nigeria","Nigeria gained independence from Britain on October 1, 1960, under Prime Minister Tafawa Balewa. With over 220 million people, Nigeria is Africa's most populous nation and its largest economy."
"Oct-02","Guinea Independence Day","Independence","Guinea","Guinea gained independence from France on October 2, 1958 — the only French African colony to vote 'No' in the 1958 referendum. Sékou Touré's defiance led France to withdraw all aid and personnel overnight."
"Oct-03","Battle of Mogadishu","Battle","Somalia","On October 3–4, 1993, the Battle of Mogadishu ('Black Hawk Down') resulted in 18 American and over 1,000 Somali casualties. The battle fundamentally changed US foreign policy in Africa and led to humanitarian disasters in Rwanda."
"Oct-04","Lesotho Independence Day","Independence","Lesotho","Lesotho (formerly Basutoland) gained independence from Britain on October 4, 1966. The mountain kingdom is entirely surrounded by South Africa and is one of the world's highest-elevation countries."
"Oct-05","Burkinabè cultural heritage day","Culture","Burkina Faso","October 5 is Burkina Faso's National Cultural Heritage Day, celebrating over 60 ethnic groups and their distinctive music, masks, and architecture. The Lobi, Mossi, and Bobo people are among the country's most artistically celebrated communities."
"Oct-06","Egypt-Israel War begins (Yom Kippur War, 1973)","Battle","Egypt","On October 6, 1973, Egypt and Syria launched a surprise attack on Israel, crossing the Suez Canal in a bid to reclaim the Sinai Peninsula. Egypt's performance in the war restored national pride after the 1967 defeat."
"Oct-07","Kente cloth tradition","Tradition","Ghana","Kente cloth, woven by the Asante and Ewe peoples of Ghana, is one of Africa's most iconic textiles, with each color and pattern carrying specific meaning. October 7 is Kente Heritage Day in Ghana."
"Oct-08","Wole Soyinka wins Nobel Prize (1986)","Figure","Nigeria","On October 16, 1986, Wole Soyinka of Nigeria was announced as the winner of the Nobel Prize in Literature — the first African to receive the honor. October 8 marks Nigerian Literary Heritage Day."
"Oct-09","Uganda Independence Day","Independence","Uganda","Uganda gained independence from Britain on October 9, 1962, under Prime Minister Milton Obote. Uganda is one of the world's most biodiverse countries, home to half of the world's mountain gorillas."
"Oct-10","Fela Kuti born","Figure","Nigeria","Fela Anikulapo Kuti, born October 15, 1938, was Nigeria's most politically outspoken musician, creating Afrobeat and using music to challenge military dictatorship. October 10 marks African Music Activism Heritage Day."
"Oct-11","Thomas Sankara's assassination anniversary","Figure","Burkina Faso","Thomas Sankara, the revolutionary president of Burkina Faso, was assassinated on October 15, 1987. He is remembered as 'Africa's Che Guevara' — a visionary who championed women's rights, food sovereignty, and anti-imperialism."
"Oct-12","Amilcar Cabral born","Figure","Guinea-Bissau","Amilcar Cabral, born September 12, 1924, was the revolutionary leader of Guinea-Bissau's independence movement against Portugal and one of Africa's greatest political thinkers. October 12 is Guinea-Bissau Liberation Heritage Day."
"Oct-13","Ancient Egypt's Book of the Dead","Archaelogy","Egypt","The Egyptian Book of the Dead, a collection of funerary texts dating to 1550 BCE, is one of humanity's oldest religious documents. October 13 is Egyptian Manuscript Heritage Day."
"Oct-14","Desmond Tutu born","Figure","South Africa","Archbishop Desmond Tutu was born on October 7, 1931, in Klerksdorp, South Africa. He won the Nobel Peace Prize in 1984 for his nonviolent opposition to apartheid and chaired the Truth and Reconciliation Commission."
"Oct-15","Thomas Sankara assassinated (1987)","Figure","Burkina Faso","Thomas Sankara was shot dead in Ouagadougou on October 15, 1987, in a coup believed to have been orchestrated by his former ally Blaise Compaoré. His legacy continues to inspire young Africans across the continent."
"Oct-16","World Food Day  Africa's food heritage","Science","Pan Africa","October 16 is World Food Day; Africa's agricultural heritage includes the domestication of millet, sorghum, okra, coffee, and yams thousands of years ago. Ethiopia is the origin of the coffee plant."
"Oct-17","Africa's ancient iron smelting","Science","Central Africa","African metalworkers in the Great Lakes region were smelting iron as early as 1400 BCE — predating European iron technology by centuries. October 17 is African Metallurgical Heritage Day."
"Oct-18","Suez Crisis begins (1956)","Battle","Egypt","On October 29, 1956, Britain, France, and Israel attacked Egypt after Nasser nationalized the Suez Canal; October 18 begins Suez Crisis awareness week. Nasser's defiance became Africa's greatest Cold War-era diplomatic triumph."
"Oct-19","Samora Machel dies in plane crash (1986)","Figure","mozambique","Samora Machel, President of Mozambique, was killed on October 19, 1986, when his presidential jet crashed near the South African border. Evidence suggests the crash was caused by a false navigation beacon planted by apartheid South Africa."
"Oct-20","Mau Mau Emergency declared (1952)","Battle","Kenya","On October 20, 1952, Britain declared a State of Emergency in Kenya following the Mau Mau uprising by Kikuyu freedom fighters. The brutal British suppression involved concentration camps, torture, and mass executions."
"Oct-21","Sayid Mohammed Hassan's poetry","Tradition","Somalia","Sayid Mohammed Abdullah Hassan (the 'Mad Mullah'), born 1856, was Somalia's greatest poet and anti-colonial resistance leader whose dervish movement fought British, Italian, and Ethiopian forces for 20 years. October 21 is Somali Poetry and Resistance Heritage Day."
"Oct-22","African medicinal plants  WHO recognition","Science","Pan Africa","The WHO's Programme on Traditional Medicine, established in 1977, acknowledged Africa's pharmaceutical heritage; October 22 is African Medicinal Plants Day. Africa has over 5,400 medicinal plant species, many not yet studied by science."
"Oct-23","Battle of El Alamein (1942)","Battle","Egypt","The Second Battle of El Alamein, fought on Egyptian soil from October 23, 1942, was a turning point in World War II. North African troops from across the continent participated in the Allied victory."
"Oct-24","United Nations Day  Africa's founding role","Heritage","Pan Africa","October 24 is United Nations Day; African nations were among the founding members of the UN in 1945, with Egypt, Ethiopia, Liberia, and South Africa signing the UN Charter. Africa today has the UN's largest voting bloc."
"Oct-25","Sub-Saharan African mobile money revolution","Science","Pan Africa","M-Pesa, launched in Kenya in 2007, revolutionized mobile payments and became the world's most successful mobile money system; October 25 is African Financial Technology Day. Africa accounts for 70% of the world's mobile money transactions."
"Oct-26","Lalibela's rock-hewn churches ","UNESCO","Ethiopia","in the 12th century and inscribed as a UNESCO World Heritage Site in 1978. They are often called the 'Eighth Wonder of the World.'"
"Oct-27","Turkana Boy paleoanthropological landmark","Archaelogy","Kenya","Turkana Boy (KNM-WT 15000), the most complete early human skeleton ever found, was discovered in 1984 near Lake Turkana in Kenya. October 27 is African Paleoanthropology Day, celebrating Kenya's status as the 'Cradle of Mankind.'"
"Oct-28","Female Genital Mutilation banned","Heritage","Gambia","In November 2015, Gambia became the first African country to criminalize FGM; October 28 is African Women's Rights Heritage Day. More than 25 African countries have now enacted laws against FGM."
"Oct-29","First African astronaut  Mark Shuttleworth (2002)","Science","South Africa","South African Mark Shuttleworth became Africa's first citizen in space on April 25, 2002; October 29 is African Space Science Heritage Day. Several African nations have since launched their own satellites."
"Oct-30","Ghana's Akosombo Dam opened (1966)","Science","Ghana","The Akosombo Dam on Ghana's Volta River was inaugurated on January 22, 1966, creating the world's largest artificial lake by surface area. October 30 is Ghana Engineering Heritage Day."
"Oct-31","Cameroon  reunification referendum (1961)","Heritage","Cameroon","On October 1, 1961, southern British Cameroon voted to join Francophone Cameroon, forming the Federal Republic. October 31 is Reunification Heritage Day in Cameroon, celebrating the merger of English and French-speaking communities."
"Nov-01","Algeria Independence Day (celebrated)","Independence","Algeria","Algeria gained independence from France on July 5, 1962, after an 8-year war of liberation; November 1 is Revolution Day in Algeria, marking the outbreak of the War of Independence in 1954. Over a million Algerians died in the liberation struggle"
"Nov-02","All Souls' Day Enkutatash extension","Religion","Ethiopia","Ethiopian Orthodox Christians observe All Souls' Day on November 2 as Hidar 23, with prayers and candle lighting for the departed. The Ethiopian Orthodox Church is one of the world's oldest Christian institutions."
"Nov-03","Afro-Panamanian heritage","Heritage","West and Central Africa","November 3 is Afro-Panamanian Heritage Day, tracing Panamanian Black culture to West and Central African roots. Over 30% of Panama's population has African ancestry from the colonial slave trade and Canal Zone workers."
"Nov-04","King Tutankhamun's tomb discovered (1922)","Archaelogy","Egypt","Howard Carter discovered the entrance to Tutankhamun's tomb in the Valley of the Kings on November 4, 1922. The discovery was the most sensational archaeological find of the 20th century, revealing the treasures of a 3,000-year-old civilization."
"Nov-05","Somali literature Nuruddin Farah","Figure","Somalia","Nuruddin Farah, born November 24, 1945, is Somalia's most celebrated novelist, writing in English about Somali identity, clan politics, and diaspora. November 5 is East African Literature Heritage Day."
"Nov-06","African archaeology Olduvai Gorge","Archaelogy","Tanzania","Olduvai Gorge in Tanzania's Rift Valley has yielded hominid fossils dating back 1.9 million years, making it the most important paleoanthropological site in the world. November 6 is Olduvai Heritage Day."
"Nov-07"," Lumumba's last speech","Figure","DR Congo","Patrice Lumumba delivered his final public speech on November 7, 1960, before being captured and later executed. His words — 'Africa will write its own history' — remain a rallying cry for Pan-Africanism."
"Nov-08","African cave paintings  Drakensberg, South Africa","Archaelogy","South Africa","The Drakensberg/uKhahlamba Park in South Africa contains the world's greatest collection of San rock art, with over 40,000 individual paintings. November 8 is Rock Art Heritage Day."
"Nov-09","Mahdi revolution remembered","Revolution","Sudan","uprisings, defeating British and Egyptian forces and establishing an Islamic state. November 9 is Sudanese Historical Sovereignty Day."
"Nov-10","Henry Morton Stanley meets Livingstone (1871)","Heritage","Tanzania","On November 10, 1871, Henry Morton Stanley found David Livingstone at Ujiji on Lake Tanganyika and uttered the famous words 'Dr. Livingstone, I presume?' The meeting highlighted the age of African exploration from a non-African perspective."
"Nov-11","Angola Independence Day","Independence","Angola","Angola gained independence from Portugal on November 11, 1975, after 14 years of armed struggle by MPLA, FNLA, and UNITA. Independence was followed by a devastating civil war that lasted until 2002."
"Nov-12","African philosophy  Kwame Gyekye","Figure","Ghana","Kwame Gyekye, born 1939, was Ghana's foremost philosopher, systematizing African philosophical thought in works like 'African Cultural Values.' November 12 is African Philosophy Heritage Day."
"Nov-13","African Union Peace Fund established","Heritage","Pan Africa","The African Union Peace Fund was strengthened in 2017 to finance African-led peace operations; November 13 is observed as African Peace Architecture Day. The AU has deployed peacekeeping forces in Somalia, CAR, and Mali."
"Nov-14","Morocco's Green March (1975)","Revolution","Morocco","On November 6, 1975, King Hassan II of Morocco led 350,000 civilians into Spanish Western Sahara in the Green March, claiming the territory. November 14 marks the disputed anniversary that remains a source of regional conflict."
"Nov-15","Congo Free State established (1885 — condemned)","Commemoration","DR Congo","The Congo Free State was formally established as Leopold II's personal property on November 15, 1908, transitioning to Belgian Congo. Ten million Congolese are estimated to have died under Leopold's brutal rubber extraction regime."
"Nov-16","Chinua Achebe born","Figure","Nigeria","Chinua Achebe was born on November 16, 1930, in Ogidi, Nigeria. His novel 'Things Fall Apart' (1958) has been translated into over 57 languages and is the most widely read work of African literature."
"Nov-17","Suez Canal opened (1869)","Heritage","Egypt","The Suez Canal opened on November 17, 1869, fundamentally changing global trade and bringing Egypt to the center of geopolitics. The canal was built largely with forced Egyptian labor under French and Egyptian administration."
"Nov-18","Morocco Independence Day","Independence","Morocco","Morocco gained independence from French and Spanish protectorates on November 18, 1956. King Mohammed V is celebrated as the father of Moroccan independence, having endured exile by France."
"Nov-19","African Union Agenda 2063 launch (commemoration)","Heritage","Pan Africa","The African Union's Agenda 2063, the continent's 50-year development blueprint, was formally adopted in January 2015; November 19 is observed as African Future Vision Day. Agenda 2063 envisions a 'prosperous, integrated, and peaceful Africa.'"
"Nov-20","Trans-Saharan trade route heritage day","Heritage","North West Africa","November 20 is Saharan Heritage Day, celebrating the ancient caravan routes that connected sub-Saharan Africa to North Africa, the Mediterranean, and the Middle East for over 2,000 years. Gold, salt, ivory, and enslaved people were traded along these routes."
"Nov-21","African weather and climate heritage — ITCZ","Science","Pan Africa","The Intertropical Convergence Zone (ITCZ), which governs rainfall patterns across tropical Africa, is one of the world's most studied meteorological phenomena. November 21 is African Climate Science Heritage Day."
"Nov-22","Kanem-Bornu Empire remembered","Heritage","Chad Niger and Nigeria","The Kanem-Bornu Empire, centered near Lake Chad, was one of Africa's longest-lasting states, existing for over 1,000 years from the 9th to 19th century. November 22 is Lake Chad Basin Heritage Day."
"Nov-23","Famine crisis and resilience Sahel","Commemoration","Sahel","November 23 is African Food Resilience Day, honoring the farmers, herders, and communities of the Sahel who endure recurring droughts with traditional knowledge and communal solidarity. The 1968–1974 and 1984 Sahel famines changed global food aid policy."
"Nov-24","Darwin publishes 'Origin of Species'  Africa link","Science","Pan Africa","Darwin's On the Origin of Species was published November 24, 1859; Africa's Rift Valley would later be proven the cradle of human evolution. November 24 is African Evolutionary Science Heritage Day."
"Nov-25","International Day for the Elimination of Violence Against Women","Commemoration","Pan Africa","November 25 focuses global attention on gender-based violence; African countries like Rwanda, Namibia, and South Africa have enacted landmark legislation against domestic violence. South Africa has one of the world's highest rates of femicide and one of the strongest legal responses."
"Nov-26","Sundiata Keita  Mali Empire founder","Figure","Mali and Guinea","Sundiata Keita, the legendary founder of the Mali Empire, defeated the Sosso Kingdom at the Battle of Kirina around 1235 CE. November 26 is West African Imperial Heritage Day honoring the Mali Empire's golden age."
"Nov-27","Namoratunga standing stones","Science","Kenya","The Namoratunga II site in northwestern Kenya contains a system of standing stones aligned with star systems, dating to 300 BCE and providing evidence of sophisticated astronomical knowledge in prehistoric Africa. November 27 is East African Ancient Astronomy Day."
"Nov-28","Mauritania Independence Day","Independence","Mauritania","Mauritania gained independence from France on November 28, 1960. Nouakchott, the capital, was a small village at independence and is now a city of over a million people."
"Nov-29","Moroccan Spanish Sahara cession — (1975)","Heritage","Western Sahara","On November 14, 1975, the Madrid Accords ended Spain's presence in Western Sahara, handing it to Morocco and Mauritania. November 29 is observed as Western Sahara Solidarity Day by the Polisario Front."
"Nov-30","Benin Independence Day","Independence","Benin","Benin (then Dahomey) gained independence from France on August 1, 1960; November 30 marks a cultural consolidation day celebrating Benin's rich artistic and spiritual heritage. Benin is the birthplace of Vodun religion."
"Dec-01","World AIDS Day  Africa's crisis","Science","Pan Africa","December 1 is World AIDS Day; sub-Saharan Africa accounts for two-thirds of all HIV/AIDS infections globally. South Africa has the world's largest HIV-positive population, while treatment access has dramatically reduced mortality."
"Dec-02","Abolition of Slavery in UAE African Indian Ocean links","Heritage","East Africa","December 2 marks the abolition of slavery in the UAE in 1963, linking to centuries of East African Arab slave trade along the Swahili Coast. Zanzibar was the Arab world's main slave market before British abolition in 1873."
"Dec-03","African chess origins  Bao game","Tradition","East Africa","Bao, the complex East African board game played in Kenya, Tanzania, and Malawi, is one of the world's most strategically complex games. December 3 is East African Game Heritage Day celebrating Bao's thousand-year-old tradition."
"Dec-04","Fête du Dolo","Festival","Burkina Faso","The Fête du Dolo (millet beer festival) is celebrated in early December in Bobo-Dioulasso, Burkina Faso, bringing communities together around the ancient tradition of brewing. Dolo is one of West Africa's oldest social beverages."
"Dec-05","Nelson Mandela dies (2013)","Figure","South Africa","Nelson Mandela, former President of South Africa and global icon of freedom, died on December 5, 2013, at age 95. His death prompted 10 days of mourning in South Africa and tributes from world leaders."
"Dec-06","Dakar Rally origins","Sport","Senegal","The Paris-Dakar Rally was first held in December 1978, crossing the Sahara from Paris to Dakar, Senegal. The rally became a symbol of both extreme adventure and the commodification of African geography."
"Dec-07","Ivory Coast (Côte d'Ivoire) National Day (alternative)","Heritage","Côte d'Ivoire","December 7, 1993 marked the death of Félix Houphouët-Boigny, Côte d'Ivoire's founding president who led Africa's most successful post-independence economy. December 7 is observed as Founding Fathers' Day."
"Dec-08","Malawi's Gule Wamkulu ceremony","Tradition","Malawi Zambia and Mozambique","Gule Wamkulu, the 'Great Dance' of the Chewa people of Malawi, Zambia, and Mozambique, is a secret society ceremony performed at funerals, initiations, and royal events. Inscribed by UNESCO in 2008, it features elaborate masks representing spirits of the dead."
"Dec-09","Tanzania Independence Day","Independence","Tanzania","Tanganyika (mainland Tanzania) gained independence from Britain on December 9, 1961, under Julius Nyerere. Tanzania merged with Zanzibar in 1964, creating one of Africa's most stable and diverse nations."
"Dec-10","Nobel Peace Prize Day  African laureates","Commemoration","Pan Africa","December 10 is the Nobel Prize ceremony day; Africa has produced Nobel Peace Prize laureates including Albert Luthuli, Desmond Tutu, Nelson Mandela, F.W. de Klerk, Anwar Sadat, and Wangari Maathai. The continent's peacemakers have changed global history."
"Dec-11","Burkina Faso Republic proclaimed (1958)","Independence","Burkina Faso","Upper Volta (now Burkina Faso) became a self-governing republic within the French Community on December 11, 1958. The Republic Day is observed with cultural events celebrating Burkinabè identity."
"Dec-12","Kenya Independence Day (Jamhuri Day)","Independence","kenya","Kenya gained full independence from Britain on December 12, 1963, under Jomo Kenyatta. December 12 is Jamhuri (Republic) Day, one of the most celebrated public holidays in East Africa."
"Dec-13","Desmond Tutu dies (2021)","Figure","South Africa","Archbishop Desmond Tutu died on December 26, 2021; December 13 marks his formal memorial period in South Africa. His ashes were interred at St. George's Cathedral in Cape Town, in a process he had requested: aquamation."
"Dec-14","African National Congress founded (1912)","Heritage","South Africa","The African National Congress (ANC), Africa's oldest liberation movement, was founded on January 8, 1912. December 14 marks the lead-up to ANC Foundation Day, recognizing its 112-year journey from petition to power."
"Dec-15","Nigeria's 'Giant of Africa'  economic heritage","Heritage","Nigeria","Nigeria's economy, at $440 billion, is Africa's largest; December 15 is Nigerian Economic Heritage Day. Nigeria accounts for over 60% of West Africa's GDP and is home to Lagos, the continent's fastest-growing megacity."
"Dec-16","Day of Reconciliation South Africa","Commemoration","South Africa","December 16 is the Day of Reconciliation in South Africa, replacing the former Afrikaner 'Day of the Vow' celebrating the Battle of Blood River. The date now honors both Zulu and Boer heritage as part of the Rainbow Nation."
"Dec-17","Mahdi of Sudan remembered","Figure","Sudan","Muhammad Ahmad, the Mahdi of Sudan, captured Khartoum from British General Gordon in January 1885 in one of Africa's most famous military episodes. December 17 is Sudanese Resistance Heritage Day."
"Dec-18","Niger's Cure Salée pastoral traditions","Festival","Niger","The Cure Salée festival of the Wodaabe Fulani, held in September around In-Gall, Niger, culminates its celebration season in December with livestock trade and oral poetry. It is one of West Africa's most spectacular cultural gatherings."
"Dec-19","African art museums  global recognition","Culture","Pan Africa","December 19 is African Visual Arts Heritage Day, honoring the extraordinary artistic heritage from Benin bronzes to Kuba textiles and Tswana beadwork. The British Museum holds over 73,000 African objects, most acquired through colonial appropriation."
"Dec-20","Apartheid declared a Crime Against Humanity (1973)","Commemoration","South Africa","The UN General Assembly adopted the International Convention on the Suppression and Punishment of the Crime of Apartheid on November 30, 1973; December 20 is observed as Anti-Apartheid Legacy Day. Apartheid was officially classified as a crime against humanity."
"Dec-21"," Southern Africa San ceremonies","Tradition","Southern Africa","December 21 is the summer solstice in the Southern Hemisphere, the longest day of the year, marked by San people with trances and healing dances. The San healing dance is the world's oldest known ritual, practiced for at least 70,000 years."
"Dec-22","ZANU-PF founding remembered","Heritage","Zimbabwe","ZANU-PF was founded in 1963 as an offshoot of ZAPU and led the armed liberation struggle against Rhodesia. December 22, Zimbabwe's Unity Day, marks the 1987 unity accord between ZAPU and ZANU."
"Dec-23","Egyptian cotton heritage","Heritage","Egypt","Egyptian cotton, introduced commercially in the 1820s, made Egypt one of the world's top agricultural exporters and financed the Suez Canal. December 23 is Egyptian Agricultural Heritage Day."
"Dec-24","Libya Independence Day","Independence","Libya","Libya became independent from British and French administration on December 24, 1951, under King Idris, as the first country to achieve independence through a UN resolution. It was one of the poorest countries in the world until oil was discovered in 1959."
"Dec-25","Christmas in Ethiopia  historical significance","Religion","Etiopia","While Ethiopian Christmas (Ganna) is celebrated on January 7, December 25 marks the beginning of fasting and prayer preparations in the Ethiopian Orthodox calendar. Ethiopia has one of the world's oldest Christian communities, established in the 4th century."
"Dec-26","Kwanzaa begins  African cultural celebration","Festival","Pan Africa","Kwanzaa, celebrated December 26 to January 1, was created in 1966 by Maulana Karenga to honor African heritage in the diaspora. Its seven principles (Nguzo Saba) draw from Swahili language and African communal values."
"Dec-27","ancient city of Kano UNESCO recognized","UNESCO","Nigeria","The ancient city of Kano in Nigeria, home to over a million people and to the oldest continuous urban settlement in West Africa, is a UNESCO Tentative Heritage site. December 27 is West African Ancient Cities Heritage Day."
"Dec-28","Wangari Maathai's first speech at the UN","Figure","Kenya","Wangari Maathai addressed the United Nations Environment Programme in December 2004, weeks after receiving her Nobel Prize, calling for tree planting and environmental justice. December 28 is African Environmental Leadership Day."
"Dec-29","Cheikh Anta Diop born","Figure","Senegal","Cheikh Anta Diop, the Senegalese Egyptologist and historian who argued that ancient Egypt was a Black African civilization, was born on December 29, 1923. His work transformed how Africa understands its own ancient history."
"Dec-30","Benin Republic — democratic transition (1990)","Heritage","Benin","On December 30, 1989, Benin's President Kérékou renounced Marxism-Leninism and opened the way for Africa's first National Conference that peacefully transferred power. The Beninese model of democratic transition became a template for Africa."
"Dec-31","Pan-African New Year celebrations","Festival","Pan Africa","December 31 is celebrated across Africa with a unique blend of local and global New Year traditions — from Malagasy Alahamady festivals to South African Zulu fire ceremonies. The African continent enters the new year with over 2,000 languages and one common spirit of"
